feature_set,model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,C,class_weight,experiment_type
v1_yellow_related,logistic_c_0_05__no_1_2,validation,0.5,0.577054794520548,0.5552910170092134,0.6545454545454545,0.6641438032166509,0.6452205882352942,0.46536144578313254,0.6452205882352942,309,355,386,702,0.05,no_1_2,logistic_tuning
v1_yellow_related,logistic_c_0_05__yes_1_2,train,0.5,0.6457294782319708,0.6044497705249343,0.7392793086580792,0.6433030646992054,0.8689152932157915,0.33998424783407716,0.8689152932157915,1295,2514,684,4534,0.05,yes_1_2,logistic_tuning
v1_yellow_related,logistic_c_0_05__yes_1_2,validation,0.5,0.627283105022831,0.5543552888022679,0.7403578528827037,0.6524176594253679,0.8556985294117647,0.25301204819277107,0.8556985294117647,168,496,157,931,0.05,yes_1_2,logistic_tuning
v1_yellow_related,logistic_c_0_05__yes_1_4,train,0.5,0.6357593885011632,0.5841995230074299,0.7437655860349127,0.6267402153926976,0.9145266385588348,0.2538724074560252,0.9145266385588348,967,2842,446,4772,0.05,yes_1_4,logistic_tuning
v1_yellow_related,logistic_c_0_05__yes_1_4,validation,0.5,0.6221461187214612,0.5334924255846917,0.7473282442748092,0.6390339425587467,0.8998161764705882,0.16716867469879518,0.8998161764705882,111,553,109,979,0.05,yes_1_4,logistic_tuning
v1_yellow_related,logistic_c_0_1__none,train,0.5,0.6576935859089399,0.6324506190126248,0.7284232729829495,0.6727272727272727,0.794174013031813,0.4707272249934366,0.794174013031813,1793,2016,1074,4144,0.1,none,logistic_tuning
v1_yellow_related,logistic_c_0_1__none,validation,0.5,0.5964611872146118,0.5489070251594613,0.6964362387290682,0.6535052377115229,0.7454044117647058,0.35240963855421686,0.7454044117647058,234,430,277,811,0.1,none,logistic_tuning
v1_yellow_related,logistic_c_0_1__balanced,train,0.5,0.6445109117093165,0.6468523944368914,0.6726512292155462,0.7190839694656489,0.6318512840168647,0.6618535048569179,0.6318512840168647,2521,1288,1921,3297,0.1,balanced,logistic_tuning
v1_yellow_related,logistic_c_0_1__balanced,validation,0.5,0.5536529680365296,0.5502414068036854,0.6109452736318408,0.665943600867679,0.5643382352941176,0.536144578313253,0.5643382352941176,356,308,474,614,0.1,balanced,logistic_tuning
v1_yellow_related,logistic_c_0_1__no_1_2,train,0.5,0.6541486651157639,0.6451931793745442,0.7013583317390473,0.7001527883880825,0.7025680337293982,0.5878183250196902,0.7025680337293982,2239,1570,1552,3666,0.1,no_1_2,logistic_tuning
