feature_set,model,split,score_type,score,count,rate
v1_score_related,catboost_regressor,test,predicted,1:1,496,0.2835906232132647
v1_score_related,catboost_regressor,test,predicted,1:2,398,0.22755860491709548
v1_score_related,catboost_regressor,test,predicted,3:1,78,0.044596912521440824
v1_score_related,catboost_regressor,test,predicted,2:2,13,0.007432818753573471
v1_score_related,catboost_regressor,test,predicted,1:3,11,0.006289308176100629
v1_score_related,catboost_regressor,test,predicted,4:1,6,0.003430531732418525
v1_score_related,catboost_regressor,train,actual,1:1,1095,0.1213027583914922
v1_score_related,catboost_regressor,train,actual,1:0,809,0.08962002880248145
v1_score_related,catboost_regressor,train,actual,2:1,807,0.08939847125290794
v1_score_related,catboost_regressor,train,actual,0:1,653,0.0723385399357483
v1_score_related,catboost_regressor,train,actual,2:0,653,0.0723385399357483
v1_score_related,catboost_regressor,train,actual,1:2,641,0.0710091946383073
v1_score_related,catboost_regressor,train,actual,0:0,601,0.06657804364683727
v1_score_related,catboost_regressor,train,actual,2:2,474,0.05250913924891991
v1_score_related,catboost_regressor,train,actual,0:2,455,0.05040434252797164
v1_score_related,catboost_regressor,train,actual,3:1,377,0.04176359809460507
v1_score_related,catboost_regressor,train,predicted,2:1,3475,0.38495624238395926
v1_score_related,catboost_regressor,train,predicted,1:1,3029,0.33554890882906835
v1_score_related,catboost_regressor,train,predicted,1:2,2006,0.2222222222222222
v1_score_related,catboost_regressor,train,predicted,3:1,371,0.04109892544588457
v1_score_related,catboost_regressor,train,predicted,1:3,73,0.008086850559432812
v1_score_related,catboost_regressor,train,predicted,2:2,41,0.0045419297662567856
v1_score_related,catboost_regressor,train,predicted,4:1,32,0.0035449207931760275
v1_score_related,catboost_regressor,validation,actual,1:1,213,0.12157534246575342
v1_score_related,catboost_regressor,validation,actual,1:0,152,0.0867579908675799
v1_score_related,catboost_regressor,validation,actual,2:1,133,0.07591324200913242
v1_score_related,catboost_regressor,validation,actual,1:2,120,0.0684931506849315
v1_score_related,catboost_regressor,validation,actual,2:0,120,0.0684931506849315
v1_score_related,catboost_regressor,validation,actual,0:1,114,0.06506849315068493
v1_score_related,catboost_regressor,validation,actual,0:0,112,0.0639269406392694
v1_score_related,catboost_regressor,validation,actual,2:2,110,0.06278538812785388
v1_score_related,catboost_regressor,validation,actual,0:2,80,0.045662100456621
v1_score_related,catboost_regressor,validation,actual,3:1,80,0.045662100456621
v1_score_related,catboost_regressor,validation,predicted,2:1,730,0.4166666666666667
v1_score_related,catboost_regressor,validation,predicted,1:1,514,0.29337899543379
v1_score_related,catboost_regressor,validation,predicted,1:2,398,0.2271689497716895
v1_score_related,catboost_regressor,validation,predicted,3:1,74,0.04223744292237443
v1_score_related,catboost_regressor,validation,predicted,2:2,19,0.010844748858447488
v1_score_related,catboost_regressor,validation,predicted,4:1,10,0.005707762557077625
v1_score_related,catboost_regressor,validation,predicted,1:3,7,0.003995433789954338
v1_score_related,dummy_mean,test,actual,1:1,215,0.12292738707833048
v1_score_related,dummy_mean,test,actual,1:0,162,0.09262435677530018
v1_score_related,dummy_mean,test,actual,2:1,147,0.08404802744425385
v1_score_related,dummy_mean,test,actual,1:2,127,0.07261292166952545
v1_score_related,dummy_mean,test,actual,0:1,124,0.07089765580331618
v1_score_related,dummy_mean,test,actual,2:0,111,0.0634648370497427
v1_score_related,dummy_mean,test,actual,2:2,106,0.06060606060606061
v1_score_related,dummy_mean,test,actual,0:0,101,0.0577472841623785
v1_score_related,dummy_mean,test,actual,0:2,101,0.0577472841623785
v1_score_related,dummy_mean,test,actual,3:1,74,0.04230989136649514
